"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 08월 14일","41.89","41.99","42.38","41.86","48.60K","-0.36%"
"2020년 08월 13일","42.04","42.28","42.35","42.04","61.10K","-0.78%"
"2020년 08월 12일","42.37","42.27","42.59","42.14","107.97K","-0.56%"
"2020년 08월 11일","42.61","43.08","43.15","42.06","140.45K","-1.57%"
"2020년 08월 10일","43.29","43.00","43.47","43.00","107.65K","-0.60%"
"2020년 08월 09일","43.55","43.55","43.55","43.55","-","0.00%"
"2020년 08월 08일","43.55","43.55","43.55","43.55","-","0.00%"
"2020년 08월 07일","43.55","43.95","43.99","43.27","211.37K","-1.49%"
"2020년 08월 06일","44.21","43.83","44.32","43.79","412.60K","1.47%"
"2020년 08월 05일","43.57","42.59","43.72","42.59","224.02K","4.01%"
"2020년 08월 04일","41.89","41.35","41.93","41.02","364.93K","2.35%"
