Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2021-07-06,439.5,1803.4,86.0,142.02,120.05,1136.75,65600
2021-07-07,436.97,1811.3,89.5,144.57,118.25,1141.5,66020
2021-07-08,432.63,1809.5,89.78,143.24,117.87,1146.59,66150
2021-07-09,427.84,1820.2,95.74,145.11,120.56,1143.73,66410
2021-07-12,431.28,1815.6,99.59,144.5,122.63,1146.85,66370
2021-07-13,434.71,1819.9,97.33,145.64,123.9,1149.94,66720
2021-07-14,433.57,1834.9,95.31,149.15,124.39,1144.22,66960
2021-07-15,436.76,1838.7,98.17,148.48,117.53,1141.59,67240
2021-07-16,434.82,1824.6,95.46,146.39,115.74,1141.51,66860
2021-07-19,429.89,1818.6,92.29,142.45,115.35,1150.83,66610
2021-07-20,428.55,1820.5,95.83,146.15,116.4,1147.47,67210
2021-07-21,426.0,1812.7,102.72,145.4,117.87,1149.31,67260
2021-07-22,431.38,1814.7,103.2,146.8,116.56,1150.55,66610
2021-07-23,431.55,1810.9,102.38,148.56,116.79,1151.52,66880
2021-07-26,427.47,1808.5,104.72,148.99,115.65,1152.54,67090
2021-07-27,428.22,1808.9,100.96,146.77,113.54,1154.25,66350
2021-07-28,429.15,1809.7,102.86,144.98,115.07,1150.27,67000
2021-07-29,429.49,1840.8,107.47,145.64,116.15,1143.12,66980
2021-07-30,423.91,1822.2,108.74,145.86,116.64,1151.41,67610
2021-08-02,426.79,1827.4,108.44,145.52,116.86,1150.18,66920
2021-08-03,429.98,1819.5,105.9,147.36,118.41,1148.44,66780
2021-08-04,436.05,1819.8,110.89,146.95,118.74,1144.76,66680
2021-08-05,434.74,1814.5,109.71,147.06,119.22,1142.59,66550
2021-08-06,433.29,1769.0,111.67,146.14,118.21,1144.93,66120
2021-08-09,431.65,1732.6,110.28,146.09,118.22,1146.89,64280
2021-08-10,428.56,1737.8,112.38,145.6,116.36,1152.7,64170
2021-08-11,424.74,1759.5,113.98,145.86,115.99,1153.98,64350
2021-08-12,422.38,1758.1,113.93,148.89,115.7,1162.98,65480
2021-08-13,416.06,1784.4,113.01,149.1,115.5,1161.37,66080
2021-08-17,411.31,1793.6,101.42,150.19,111.11,1177.3,67770
2021-08-18,413.36,1790.2,104.14,146.36,110.45,1170.03,67340
2021-08-19,404.96,1788.8,103.43,146.7,110.52,1176.28,67320
2021-08-20,400.78,1789.6,103.03,148.19,108.12,1175.15,67780
2021-08-23,404.58,1812.0,108.74,149.71,110.96,1169.36,67360
2021-08-24,412.48,1814.0,111.3,149.62,112.11,1163.65,67590
2021-08-25,413.95,1796.5,112.62,148.36,117.03,1163.87,67430
2021-08-26,410.38,1800.8,109.59,147.54,118.1,1170.53,67190
2021-08-27,410.24,1825.1,111.27,148.6,118.49,1161.23,67800
2021-08-30,411.5,1817.8,114.84,153.12,118.99,1164.34,68050
2021-08-31,419.79,1823.7,118.34,151.83,119.01,1158.73,67700
2021-09-01,419.92,1821.4,114.64,152.51,120.46,1155.47,67550
2021-09-02,415.89,1816.7,116.24,153.65,120.79,1158.05,67770
2021-09-03,419.22,1838.8,114.1,154.3,123.97,1154.28,67450
2021-09-07,417.8,1803.6,116.0,156.69,124.7,1161.98,67650
2021-09-08,414.54,1798.8,113.58,155.11,121.89,1166.54,67360
2021-09-09,407.28,1805.4,115.93,154.07,122.68,1169.64,67250
2021-09-10,408.7,1797.5,117.41,148.97,122.97,1170.23,67740
2021-09-13,409.7,1800.0,115.82,149.55,123.62,1172.83,67710
2021-09-14,412.36,1812.5,117.47,148.12,123.09,1172.23,67500
2021-09-15,412.85,1800.1,120.59,149.03,121.5,1166.23,67840
2021-09-16,409.22,1761.9,115.04,148.79,120.79,1175.19,67330
2021-09-17,410.99,1756.3,112.65,146.06,117.75,1180.69,66670
2021-09-23,410.46,1754.9,112.03,146.83,116.19,1174.63,66670
2021-09-24,409.84,1756.9,109.84,146.92,115.64,1179.68,66400
2021-09-27,410.97,1757.0,107.71,145.37,116.15,1177.94,66540
2021-09-28,406.2,1742.6,103.32,141.91,111.9,1187.16,66380
2021-09-29,400.09,1727.8,100.89,142.83,111.62,1187.11,66080
2021-09-30,401.3,1760.9,103.22,141.5,111.65,1184.23,65820
2021-10-01,394.79,1762.9,103.07,142.65,111.56,1180.35,67050
2021-10-05,388.01,1765.5,101.66,141.11,109.26,1186.48,67220
2021-10-06,381.93,1766.3,100.51,142.0,109.34,1190.21,67230
2021-10-07,388.14,1764.3,104.39,143.29,110.83,1190.88,67490
2021-10-08,387.42,1762.7,102.71,142.9,110.04,1196.79,67560
2021-10-12,380.69,1764.6,106.17,141.51,109.2,1197.29,67870
2021-10-13,384.1,1800.4,109.27,140.91,109.98,1186.18,67640
2021-10-14,389.59,1803.2,111.4,143.76,112.56,1181.69,68450
2021-10-15,393.19,1773.5,113.25,144.84,114.86,1182.07,68100
2021-10-18,392.02,1771.0,114.2,146.55,115.34,1185.47,67420
2021-10-19,395.41,1775.8,115.23,148.76,116.96,1175.13,67380
2021-10-20,393.74,1789.9,116.41,149.26,115.59,1175.63,67050
2021-10-21,393.18,1787.1,115.31,149.48,116.29,1177.78,67570
2021-10-22,393.34,1801.7,113.34,148.69,114.23,1177.48,67850
2021-10-25,395.01,1812.0,118.34,148.64,113.64,1168.02,67500
2021-10-26,399.07,1798.7,117.77,149.32,114.18,1167.95,67760
