날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 03월 27일,233.79,239.11,239.48,227.01,249.10M,1.94%
2020년 03월 26일,229.34,231.91,236.61,229.22,290.84M,-1.52%
2020년 03월 25일,232.89,228.37,233.42,224.74,306.11M,5.70%
2020년 03월 24일,220.34,207.65,220.34,205.41,225.73M,9.15%
2020년 03월 23일,201.87,200.8,206.66,198.67,210.30M,-5.52%
2020년 03월 20일,213.67,204.84,214.08,200.54,269.35M,7.22%
2020년 03월 19일,199.28,220.72,220.85,196.27,303.56M,-7.67%
2020년 03월 18일,215.83,228.63,230.04,215.81,208.04M,-4.87%
2020년 03월 17일,226.89,222.94,234.56,222.46,216.73M,-2.61%
2020년 03월 16일,232.97,245.21,245.21,232.76,175.05M,-3.19%
2020년 03월 13일,240.65,231.71,246.19,227.36,298.90M,-2.81%
2020년 03월 12일,247.62,253.93,255.49,243.76,242.47M,-3.65%
2020년 03월 11일,257.01,264.63,265.04,255.69,194.21M,-2.89%
2020년 03월 10일,264.67,261.94,265.57,260.75,173.09M,0.59%
2020년 03월 09일,263.11,266.39,267.75,261.76,182.67M,-4.36%
2020년 03월 06일,275.1,276.74,278.31,274,140.90M,-2.23%
2020년 03월 05일,281.38,280.66,282.05,277.91,147.44M,1.17%
2020년 03월 04일,278.13,270.13,278.9,270.13,208.46M,2.42%
2020년 03월 03일,271.56,277.44,277.54,270.79,146.72M,0.44%
2020년 03월 02일,270.37,269.59,272.6,265.7,163.72M,0.88%
2020년 02월 28일,268.02,272.33,273.98,267.23,202.61M,-3.27%
2020년 02월 27일,277.09,279.46,281.09,276.07,110.50M,-1.02%
2020년 02월 26일,279.94,278.45,281.98,277.68,119.55M,-1.51%
2020년 02월 25일,284.24,280.48,284.63,279.77,117.03M,1.15%
2020년 02월 24일,281.02,285.51,286.62,281.02,132.82M,-3.90%
2020년 02월 21일,292.42,292.16,295.24,291.96,100.71M,-1.43%
2020년 02월 20일,296.65,300.34,301.35,295.01,90.01M,-0.56%
2020년 02월 19일,298.33,299.68,300.38,295.53,84.26M,0.20%
2020년 02월 18일,297.74,300.26,301.29,297.2,84.75M,-1.66%
2020년 02월 17일,302.76,302.84,304.05,300.99,84.28M,-0.08%
2020년 02월 14일,303.01,300.95,304.2,299.18,80.53M,0.69%
2020년 02월 13일,300.93,302.79,304.43,300.48,115.07M,-0.20%
2020년 02월 12일,301.54,299.83,302.2,298.09,110.63M,0.76%
2020년 02월 11일,299.28,297.91,301.1,297.48,78.35M,1.03%
2020년 02월 10일,296.24,294.07,296.73,293.33,72.22M,-0.66%
2020년 02월 07일,298.21,299.59,300.05,296.01,108.11M,-0.81%
2020년 02월 06일,300.65,294.74,300.98,294.32,110.22M,2.96%
2020년 02월 05일,292.02,293.57,294.26,290.3,102.64M,0.46%
2020년 02월 04일,290.68,285.19,291.38,285.11,105.45M,1.98%
2020년 02월 03일,285.05,280.17,286.24,279.78,111.06M,0.18%
2020년 01월 31일,284.53,290.24,291.47,284.53,101.46M,-1.33%
2020년 01월 30일,288.37,293.27,294.11,287.09,101.54M,-1.91%
2020년 01월 29일,293.98,294.38,295.67,292.45,85.73M,0.41%
2020년 01월 28일,292.77,294.98,296.3,291.3,130.17M,-3.16%
2020년 01월 23일,302.33,303.77,304.72,301.71,86.91M,-1.23%
2020년 01월 22일,306.08,301.79,306.52,301.16,79.33M,1.31%
2020년 01월 21일,302.11,304.94,306.09,301.85,67.63M,-1.14%
2020년 01월 20일,305.58,304.99,307.54,304.77,78.04M,0.75%
2020년 01월 17일,303.3,305.07,306.05,302.51,81.54M,0.17%
2020년 01월 16일,302.78,299.93,302.91,298.95,85.71M,1.01%
2020년 01월 15일,299.74,299.91,301.13,298.82,71.77M,-0.59%
2020년 01월 14일,301.53,302.2,303.61,300.69,92.12M,0.47%
2020년 01월 13일,300.13,296.62,300.31,296.53,81.68M,1.03%
2020년 01월 10일,297.06,294.8,297.17,294.17,94.16M,0.90%
2020년 01월 09일,294.41,293.83,294.41,292.1,111.79M,1.72%
2020년 01월 08일,289.42,288.94,291.01,287.3,124.53M,-0.62%
2020년 01월 07일,291.23,290.01,292.26,289.64,65.35M,0.97%
2020년 01월 06일,288.43,287.73,289.41,287.49,69.96M,-0.79%
2020년 01월 03일,290.74,293.1,294.88,289.04,79.77M,0.13%
2020년 01월 02일,290.35,294.19,294.57,289.96,66.16M,-1.16%
2019년 12월 30일,293.77,294.6,295.49,293.4,54.97M,-0.48%
2019년 12월 27일,295.2,292.37,296.95,291.28,77.51M,0.39%
2019년 12월 26일,294.06,293.12,294.07,291.79,68.48M,0.40%
2019년 12월 24일,292.9,295.18,295.25,292.47,60.61M,-0.67%
2019년 12월 23일,294.87,295.84,296.12,293.81,62.09M,-0.15%
2019년 12월 20일,295.31,295.58,295.86,293.95,75.97M,0.34%
2019년 12월 19일,294.31,295.06,295.84,292.82,70.19M,0.03%
