Date,Close,Open,High,Low,Volume,Change
2021-07-07,436.97,439.29,439.29,435.78,178320000.0,-0.0058
2021-07-08,432.63,437.2,438.56,432.6,216930000.0,-0.009899999999999999
2021-07-09,427.84,431.64,431.65,424.26,238820000.0,-0.0111
2021-07-12,431.28,429.33,432.02,429.3,134960000.0,0.008
2021-07-13,434.71,432.39,435.21,432.36,148610000.0,0.008
2021-07-14,433.57,434.47,434.57,431.75,147020000.0,-0.0026
2021-07-15,436.76,434.24,436.85,433.12,152540000.0,0.0074
2021-07-16,434.82,436.24,436.24,432.85,149480000.0,-0.0044
2021-07-19,429.89,432.25,432.25,428.94,152020000.0,-0.0113
2021-07-20,428.55,427.14,428.78,425.99,163960000.0,-0.0031
2021-07-21,426.0,430.99,431.29,425.82,212120000.0,-0.006
2021-07-22,431.38,428.75,431.93,428.65,182080000.0,0.0126
2021-07-23,431.55,431.75,433.23,430.27,173070000.0,0.0004
2021-07-26,427.47,433.14,433.28,427.46,146230000.0,-0.0095
2021-07-27,428.22,430.14,431.15,427.89,142520000.0,0.0018
2021-07-28,429.15,427.3,429.71,425.34,132990000.00000001,0.0022
2021-07-29,429.49,430.58,431.19,428.18,112360000.0,0.0008
2021-07-30,423.91,428.12,428.21,423.91,143580000.0,-0.013000000000000001
2021-08-02,426.79,426.29,426.85,422.86,117340000.0,0.0068000000000000005
2021-08-03,429.98,426.65,429.98,426.42,151060000.0,0.0075
2021-08-04,436.05,431.6,436.71,430.16,166740000.0,0.0141
2021-08-05,434.74,436.46,437.85,434.24,267970000.00000003,-0.003
2021-08-06,433.29,434.85,436.61,432.27,143720000.0,-0.0033
2021-08-09,431.65,431.57,433.16,430.05,140990000.0,-0.0038
2021-08-10,428.56,433.01,433.11,427.28,174090000.0,-0.0072
2021-08-11,424.74,427.16,428.88,424.3,170670000.0,-0.0089
2021-08-12,422.38,423.17,425.53,421.42,251300000.0,-0.005600000000000001
2021-08-13,416.06,421.38,422.04,413.64,221070000.0,-0.015
2021-08-17,411.31,415.5,417.23,410.31,207920000.0,-0.011399999999999999
2021-08-18,413.36,410.92,415.38,408.46,184480000.0,0.005
2021-08-19,404.96,410.84,412.93,404.91,192940000.0,-0.0203
2021-08-20,400.78,406.64,408.35,399.18,197110000.0,-0.0103
2021-08-23,404.58,404.32,407.82,401.63,166040000.0,0.0095
2021-08-24,412.48,408.47,412.94,408.26,165650000.0,0.0195
2021-08-25,413.95,414.01,416.03,410.63,176200000.0,0.0036
2021-08-26,410.38,414.49,415.74,409.79,174280000.0,-0.0086
2021-08-27,410.24,408.63,411.79,406.81,132449999.99999999,-0.0003
2021-08-30,411.5,414.15,414.85,410.04,145640000.0,0.0031
2021-08-31,419.79,411.69,419.9,409.67,170990000.0,0.020099999999999996
2021-09-01,419.92,419.17,421.31,417.16,151580000.0,0.0003
2021-09-02,415.89,419.19,420.2,414.99,146860000.0,-0.0096
2021-09-03,419.22,417.67,419.78,416.4,147690000.0,0.008
2021-09-06,420.37,418.99,420.74,417.85,151550000.0,0.0027
2021-09-07,417.8,419.85,419.88,416.28,134460000.0,-0.0060999999999999995
2021-09-08,414.54,416.35,417.62,413.34,182490000.0,-0.0078000000000000005
2021-09-09,407.28,411.98,413.64,406.68,189640000.0,-0.0175
2021-09-10,408.7,407.99,409.78,405.99,145030000.0,0.0034999999999999996
2021-09-13,409.7,407.33,410.87,406.43,152910000.0,0.0024
2021-09-14,412.36,411.06,414.85,410.98,179780000.0,0.006500000000000001
2021-09-15,412.85,412.05,414.61,410.75,193190000.0,0.0012
2021-09-16,409.22,414.22,414.68,408.79,166060000.0,-0.0088
