"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 01월 11일","18.41","19.62","21.00","18.20","-","-5.10%"
"2022년 01월 10일","19.40","19.58","23.33","19.29","-","3.41%"
"2022년 01월 07일","18.76","19.85","20.80","18.57","-","-4.33%"
"2022년 01월 06일","19.61","20.29","21.06","19.08","-","-0.61%"
"2022년 01월 05일","19.73","17.07","20.17","16.58","-","16.68%"
"2022년 01월 04일","16.91","16.57","17.81","16.34","-","1.87%"
"2022년 01월 03일","16.60","17.60","18.54","16.56","-","-3.60%"
"2021년 12월 31일","17.22","17.63","18.27","16.99","-","-0.63%"
"2021년 12월 30일","17.33","17.30","17.79","16.62","-","2.24%"
"2021년 12월 29일","16.95","17.63","18.00","16.71","-","-3.36%"
"2021년 12월 28일","17.54","17.78","18.47","17.51","-","-0.79%"
"2021년 12월 27일","17.68","19.37","19.41","17.55","-","-1.56%"
"2021년 12월 24일","17.96","17.96","17.96","17.96","-","0.00%"
"2021년 12월 23일","17.96","18.81","18.93","17.62","-","-3.60%"
"2021년 12월 22일","18.63","21.04","21.36","18.59","-","-11.33%"
"2021년 12월 21일","21.01","22.28","22.68","20.90","-","-8.13%"
"2021년 12월 20일","22.87","25.89","27.39","22.85","-","6.03%"
"2021년 12월 17일","21.57","20.70","23.26","20.49","-","4.86%"
"2021년 12월 16일","20.57","18.56","22.13","18.19","-","6.64%"
"2021년 12월 15일","19.29","21.60","23.47","19.02","-","-11.88%"
"2021년 12월 14일","21.89","19.67","23.00","19.67","-","7.78%"
"2021년 12월 13일","20.31","19.29","21.18","18.96","-","8.67%"
"2021년 12월 10일","18.69","21.27","21.30","18.69","-","-13.39%"
"2021년 12월 09일","21.58","20.31","22.12","19.94","-","8.44%"
"2021년 12월 08일","19.90","21.74","23.11","19.85","-","-9.09%"
"2021년 12월 07일","21.89","24.58","24.69","21.58","-","-19.46%"
"2021년 12월 06일","27.18","28.99","30.82","26.75","-","-11.38%"
"2021년 12월 03일","30.67","26.95","35.32","25.89","-","9.73%"
"2021년 12월 02일","27.95","29.44","30.68","27.15","-","-10.19%"
"2021년 12월 01일","31.12","24.92","32.61","22.38","-","14.45%"
